date,event,score,confidence,source,note
2026-06-15,chile_mine_strike,1,A,official_news,confirmed strike at major mine
2026-06-30,us_copper_232_refined_tariff,1,B,us_commerce,Section232 final update to President maintains phased global ad-valorem tariff on all imported refined copper: 15% from 2027-01-01 then 30% from 2028-01-01; President has 90-day signing window or existing zero refined-copper tariff remains; also recommends domestic copper-input localization ratio and high-quality scrap export controls
